id;query;answer;hi_answer
1351425_0;What caused more military casualties among the respective combatants in World War II, planes or artillery?;"Wow, we just studied this yesterday.. . The Treaty came about after the first World War, and was a way basically for the Allies to place almost all the blame entirely on Germany. The Treaty called for exorbitant reparations (around $20 billion in current dollars) and placed severe restrictions on German military and economy. What was a bigger contributing factor was the war itself; the combined war efforts of almost every superpower of the time left the world economically drained, and the labor demands and inflation reached their peak in the 1930's, leading to the Stock Market crash that ushered in the Depression.";"
				Wow, we just studied this yesterday.. . The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Treaty&lt;/strong&gt;&lt;/span&gt; came about after the first &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;World&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;War&lt;/strong&gt;&lt;/span&gt;, and was a way basically for the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Allies&lt;/strong&gt;&lt;/span&gt; to place almost all the blame entirely on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Germany&lt;/strong&gt;&lt;/span&gt;. The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Treaty&lt;/strong&gt;&lt;/span&gt; called for &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;exorbitant&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;reparations&lt;/strong&gt;&lt;/span&gt; (around $20 billion in current dollars) and placed severe restrictions on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;German&lt;/strong&gt;&lt;/span&gt; military and economy. What was a bigger contributing factor was the war itself; the combined war efforts of almost every &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;superpower&lt;/strong&gt;&lt;/span&gt; of the time left the world economically drained, and the labor demands and inflation reached their peak in the 1930's, leading to the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Stock&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Market&lt;/strong&gt;&lt;/span&gt; crash that ushered in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Depression&lt;/strong&gt;&lt;/span&gt;.
			"
1351425_1;What caused more military casualties among the respective combatants in World War II, planes or artillery?;I believe the army air corps and navy air did far more damage than artillery of WWII. Besides the two a-bombs dropped on Japan, the carpet bombing of Dresden is a prime example of the devastation left in the wake of bombing runs. That example was played over and over again in Europe, as well as the island campaigns of the south Pacific. Then again, naval gun fire played an awfully large part in the Pacific, so I'm going to revise my answer by saying, in Europe air power was more significant, whereas in the Pacific, artillery and naval gun fire were dominant, excluding the A-bombs of coarse.;"
				I believe the army &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;air&lt;/strong&gt;&lt;/span&gt; corps and navy &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;air&lt;/strong&gt;&lt;/span&gt; did far more damage than &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;artillery&lt;/strong&gt;&lt;/span&gt; of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;WWII&lt;/strong&gt;&lt;/span&gt;. Besides the two a-bombs dropped on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Japan&lt;/strong&gt;&lt;/span&gt;, the carpet &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;bombing&lt;/strong&gt;&lt;/span&gt; of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Dresden&lt;/strong&gt;&lt;/span&gt; is a prime example of the devastation left in the wake of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;bombing&lt;/strong&gt;&lt;/span&gt; runs. That example was played over and over again in Europe, as well as the island campaigns of the south &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Pacific&lt;/strong&gt;&lt;/span&gt;.  Then again, naval gun fire played an awfully large part in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Pacific&lt;/strong&gt;&lt;/span&gt;, so I'm going to revise my answer by saying, in Europe &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;air&lt;/strong&gt;&lt;/span&gt; power was more significant, whereas in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Pacific&lt;/strong&gt;&lt;/span&gt;, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;artillery&lt;/strong&gt;&lt;/span&gt; and naval gun fire were dominant, excluding the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;A-bombs&lt;/strong&gt;&lt;/span&gt; of coarse.
			"
1353406_0;What could I put on the ground in my backyard to stop my pit bull from constantly digging it up?;Because they are always doing stuff on profiles and stuff. Like cleaning or something. Its not working for me either, and it makes me mad. But, oh well;"
				Because they are always doing &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;stuff&lt;/strong&gt;&lt;/span&gt; on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;profiles&lt;/strong&gt;&lt;/span&gt; and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;stuff&lt;/strong&gt;&lt;/span&gt;. Like &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cleaning&lt;/strong&gt;&lt;/span&gt; or something. Its not working for me either, and it makes me &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;mad&lt;/strong&gt;&lt;/span&gt;. But, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;oh&lt;/strong&gt;&lt;/span&gt; well
			"
1353406_1;What could I put on the ground in my backyard to stop my pit bull from constantly digging it up?;Exercise, the reason they dogs start doing things that are destructive is because they aren't being stimulated enough. Get him to a trainer or start training him yourself, Pitbulls are excellent learners, they absorb a lot! Teach him little tricks and things you can do with him are great like play ball or frizzbee. Something to get the energy out so he won't want to dig.;"
				Exercise, the reason they dogs start doing &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;things&lt;/strong&gt;&lt;/span&gt; that are destructive is because they aren't being stimulated enough. Get him to a trainer or start training him yourself, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Pitbulls&lt;/strong&gt;&lt;/span&gt; are excellent &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;learners&lt;/strong&gt;&lt;/span&gt;, they absorb a lot! Teach him little tricks and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;things&lt;/strong&gt;&lt;/span&gt; you can do with him are great like play ball or &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;frizzbee&lt;/strong&gt;&lt;/span&gt;. Something to get the energy out so he won't want to dig.
			"
1366272_0;How do I help my sis over the loss of her dog?;It's a safety precaution for the animal. Most shelters/rescues would like to meet the adopter, and make their decision based on that, instead of words written on an application. It's less likely, that the animal will be safely returned to them, if the new home doesn't work out, when they are out of the local area, as well. It's really nothing against you, they are just looking out for the well-being of the animal.;"
				It's a safety &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;precaution&lt;/strong&gt;&lt;/span&gt; for the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;animal&lt;/strong&gt;&lt;/span&gt;. Most shelters/rescues would like to meet the adopter, and make their decision based on that, instead of words written on an application. It's less likely, that the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;animal&lt;/strong&gt;&lt;/span&gt; will be safely returned to them, if the new home doesn't work out, when they are out of the local area, as well. It's really nothing against you, they are just looking out for the well-being of the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;animal&lt;/strong&gt;&lt;/span&gt;.
			"
1366272_1;How do I help my sis over the loss of her dog?;I am so sorry to hear that your sister is in so much pain after loosing her best friend. The best way to help your sister is to be there for her, and listen to her, but from what you have said it seems like you guys are pretty close and you have been through so much together, and this in time will help her get over her loss. Also tell her that her little dog will always be with her as she is alive in her heart. I do hope that your sisters pain eases soon but every day is a step closer to her feeling a bit better;"
				I am so &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;sorry&lt;/strong&gt;&lt;/span&gt; to hear that your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;sister&lt;/strong&gt;&lt;/span&gt; is in so much &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;pain&lt;/strong&gt;&lt;/span&gt; after loosing her best friend.  The best way to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;help&lt;/strong&gt;&lt;/span&gt; your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;sister&lt;/strong&gt;&lt;/span&gt; is to be there for her, and listen to her, but from what you have said it seems like you guys are pretty &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;close&lt;/strong&gt;&lt;/span&gt; and you have been through so much together, and this in time will &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;help&lt;/strong&gt;&lt;/span&gt; her get over her loss. Also tell her that her little dog will always be with her as she is alive in her heart. I do hope that your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;sisters&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;pain&lt;/strong&gt;&lt;/span&gt; eases soon but every day is a step &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;closer&lt;/strong&gt;&lt;/span&gt; to her feeling a bit better
			"
1373390_0;What is the difference between procedural and object oriented language?explain with examples?;"It is possible, actually EASY, to write a program in C++ that has no object technology features whatsoever. And even with those features that do have ""objectness"", there are often special keywords required (like ""virtual"") to get truly object-oriented behavior.. . In Java, it is impossible to write a working program without at least having the rudiments of an object-oriented program structure.. . However, as a good friend of mine once noted, a true procedural programmer can write FORTRAN in any language.";"
				It is possible, actually EASY, to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;write&lt;/strong&gt;&lt;/span&gt; a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;program&lt;/strong&gt;&lt;/span&gt; in C++ that has no &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;object&lt;/strong&gt;&lt;/span&gt; technology features whatsoever. And even with those features that do have ""&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;objectness&lt;/strong&gt;&lt;/span&gt;"", there are often special keywords required (like ""virtual"") to get truly object-oriented behavior.. . In &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Java&lt;/strong&gt;&lt;/span&gt;, it is impossible to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;write&lt;/strong&gt;&lt;/span&gt; a working &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;program&lt;/strong&gt;&lt;/span&gt; without at least having the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;rudiments&lt;/strong&gt;&lt;/span&gt; of an object-oriented &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;program&lt;/strong&gt;&lt;/span&gt; structure.. . However, as a good friend of mine once noted, a true procedural programmer can &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;write&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;FORTRAN&lt;/strong&gt;&lt;/span&gt; in any language.
			"
1373390_1;What is the difference between procedural and object oriented language?explain with examples?;Object oriented language means programming using objects. An object is the instance of a class. Not all languages are object oriented (for example C, Ada, Cobol, Fortran but fortunately there are few people that still use them).. The main difference between a OOP and a procedural language is that when working with objects you can control every method for it, restrict access to it's components, inherit pre-build class components, while in procedural language this is impossible!;"
				&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Object&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;oriented&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;language&lt;/strong&gt;&lt;/span&gt; means programming using &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;objects&lt;/strong&gt;&lt;/span&gt;. An &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;object&lt;/strong&gt;&lt;/span&gt; is the instance of a class. Not all &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;languages&lt;/strong&gt;&lt;/span&gt; are &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;object&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;oriented&lt;/strong&gt;&lt;/span&gt; (for example C, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Ada&lt;/strong&gt;&lt;/span&gt;, Cobol, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Fortran&lt;/strong&gt;&lt;/span&gt; but fortunately there are few people that still use them).. The main difference between a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;OOP&lt;/strong&gt;&lt;/span&gt; and a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;procedural&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;language&lt;/strong&gt;&lt;/span&gt; is that when working with &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;objects&lt;/strong&gt;&lt;/span&gt; you can control every method for it, restrict access to it's components, inherit pre-build class components, while in &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;procedural&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;language&lt;/strong&gt;&lt;/span&gt; this is impossible!
			"
1393904_0;I have a dsl connection another hous member is using it for a wireless connection how can I stop access 2 min?;Upgrade to dsl and tell them what you want to do or upgrade to cable and get yourself a router. With a dial-up connection, a router is a waste of time. It'll work but if you upgrade to dsl, chances are it won't cost you any more (or much more) than dial-up and they'll give you all the equipment you need. Plus you'll have a much better connection with dsl over dial-up.;"
				&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Upgrade&lt;/strong&gt;&lt;/span&gt; to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;dsl&lt;/strong&gt;&lt;/span&gt; and tell them what you want to do or &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;upgrade&lt;/strong&gt;&lt;/span&gt; to cable and get yourself a router.  With a dial-up &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;connection&lt;/strong&gt;&lt;/span&gt;, a router is a waste of time.  It'll work but if you &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;upgrade&lt;/strong&gt;&lt;/span&gt; to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;dsl&lt;/strong&gt;&lt;/span&gt;, chances are it won't cost you any more (or much more) than dial-up and they'll give you all the equipment you need.  &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Plus&lt;/strong&gt;&lt;/span&gt; you'll have a much better &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;connection&lt;/strong&gt;&lt;/span&gt; with &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;dsl&lt;/strong&gt;&lt;/span&gt; over dial-up.
			"
1393904_1;I have a dsl connection another hous member is using it for a wireless connection how can I stop access 2 min?;If you go into you Windows Settings you will be able to turn off file sharing. Should be in Network Settings, though I don't know what platform you are running. Some Platforms have it under security settings. Anyhow, if you disallow file sharing that he should not be able to access your files.;"
				If you go into you &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Windows&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Settings&lt;/strong&gt;&lt;/span&gt; you will be able to turn off &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;file&lt;/strong&gt;&lt;/span&gt; sharing. Should be in &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Network&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Settings&lt;/strong&gt;&lt;/span&gt;, though I don't know what &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;platform&lt;/strong&gt;&lt;/span&gt; you are running. Some &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Platforms&lt;/strong&gt;&lt;/span&gt; have it under security &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;settings&lt;/strong&gt;&lt;/span&gt;. &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Anyhow&lt;/strong&gt;&lt;/span&gt;, if you &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;disallow&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;file&lt;/strong&gt;&lt;/span&gt; sharing that he should not be able to access your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;files&lt;/strong&gt;&lt;/span&gt;.
			"
139882_0;How I can I get my credit report for free online with out using my credit card?;Well, some websites cost money. But you could make a free one, it just won't be as good. (See sources for link.) I made one, but you can only have 7 pages if you have a free one, unless you're willing to pay the money.;"
				Well, some websites cost &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;money&lt;/strong&gt;&lt;/span&gt;. But you could make a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;free&lt;/strong&gt;&lt;/span&gt; one, it just won't be as good. (&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;See&lt;/strong&gt;&lt;/span&gt; sources for link.) I made one, but you can only have 7 pages if you have a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;free&lt;/strong&gt;&lt;/span&gt; one, unless you're willing to pay the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;money&lt;/strong&gt;&lt;/span&gt;.
			"
139882_1;How I can I get my credit report for free online with out using my credit card?;You are entitled to a free credit report from the major credit bureaus. The Federal Trade commission has an official web site for this purpose. I have included it as a source. You will find what you need on this site.;"
				You are &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;entitled&lt;/strong&gt;&lt;/span&gt; to a free &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;credit&lt;/strong&gt;&lt;/span&gt; report from the major &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;credit&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;bureaus&lt;/strong&gt;&lt;/span&gt;. The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Federal&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Trade&lt;/strong&gt;&lt;/span&gt; commission has an official &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;web&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;site&lt;/strong&gt;&lt;/span&gt; for this purpose. I have included it as a source. You will find what you need on this &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;site&lt;/strong&gt;&lt;/span&gt;.
			"
1457917_0;How to get a speeding ticket dismissed?;Hahahah that reminds me of one of those camera cop shows I saw.. some man was going crazy when the cop pulled him over, yelling screaming, and carrying on. When the cop gave him his ticket and told him how much it was he started yelling and screaming and carrying on some more... then the guy ripped up the ticket and threw it out of the car window.. the cop told him if he didn't pick it up he would write him a ticket for littering.. the guy yelled and screamed and carried on again... but did end up getting out of his car to pick it up.. when he got in the cop saw where he left some and made him get back out of his car to get the rest and then the guy cussed some more and then sped off.. it was so funny- oh yeah sorry but to answer your question.. I guess depending on where you littered.. I'm sure he's not going to make you get out on the interstate and pick something up, or it is was miles back-probally just write you a ticket and let you go on your way;"
				Hahahah that reminds me of one of those camera &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cop&lt;/strong&gt;&lt;/span&gt; shows I saw.. some man was going crazy when the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cop&lt;/strong&gt;&lt;/span&gt; pulled him over, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;yelling&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;screaming&lt;/strong&gt;&lt;/span&gt;, and carrying on. When the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cop&lt;/strong&gt;&lt;/span&gt; gave him his &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ticket&lt;/strong&gt;&lt;/span&gt; and told him how much it was he started &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;yelling&lt;/strong&gt;&lt;/span&gt; and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;screaming&lt;/strong&gt;&lt;/span&gt; and carrying on some more... then the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;guy&lt;/strong&gt;&lt;/span&gt; ripped up the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ticket&lt;/strong&gt;&lt;/span&gt; and threw it out of the car window.. the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cop&lt;/strong&gt;&lt;/span&gt; told him if he didn't pick it up he would write him a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ticket&lt;/strong&gt;&lt;/span&gt; for littering.. the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;guy&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;yelled&lt;/strong&gt;&lt;/span&gt; and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;screamed&lt;/strong&gt;&lt;/span&gt; and carried on again... but did end up getting out of his car to pick it up.. when he got in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cop&lt;/strong&gt;&lt;/span&gt; saw where he left some and made him get back out of his car to get the rest and then the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;guy&lt;/strong&gt;&lt;/span&gt; cussed some more and then sped off.. it was so funny- oh yeah sorry but to answer your question.. I guess depending on where you littered.. I'm sure he's not going to make you get out on the interstate and pick something up, or it is was miles back-probally just write you a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ticket&lt;/strong&gt;&lt;/span&gt; and let you go on your way
			"
1457917_1;How to get a speeding ticket dismissed?;You could just be stressing yourself out. Calm down don't worry about your missing period. Stress can cause lateness. If still hasn't come in another 5 days make an app with your GYN to get a blood pregnancy test.;"
				You could just be &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;stressing&lt;/strong&gt;&lt;/span&gt; yourself out. Calm down don't &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;worry&lt;/strong&gt;&lt;/span&gt; about your missing period. &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Stress&lt;/strong&gt;&lt;/span&gt; can cause lateness. If still hasn't come in another 5 days make an app with your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;GYN&lt;/strong&gt;&lt;/span&gt; to get a blood pregnancy test.
			"
1520321_0;On my sanyo tv( fac) has come up in red please can anybody tell me what it is & how to remove it thanks?;"I looked on Google & found these slow-motion K-rail videos. Not an answer to your question but wow! Check 'em out, especially the ""downstream"" clips!! (see link below)";"
				I looked on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Google&lt;/strong&gt;&lt;/span&gt; & found these slow-motion &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;K-rail&lt;/strong&gt;&lt;/span&gt; videos. Not an answer to your question but &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;wow&lt;/strong&gt;&lt;/span&gt;! Check '&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;em&lt;/strong&gt;&lt;/span&gt; out, especially the ""downstream"" &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;clips&lt;/strong&gt;&lt;/span&gt;!! (see link below)
			"
1520321_1;On my sanyo tv( fac) has come up in red please can anybody tell me what it is & how to remove it thanks?;I would check your connections first. Especially if you have moved or cleaned behind the unit.. . As to what has happen, sound like you may have lost one or more guns in the tube. But first check you connection, before you go calling in a technician.;"
				I would &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;check&lt;/strong&gt;&lt;/span&gt; your &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;connections&lt;/strong&gt;&lt;/span&gt; first.  Especially if you have moved or cleaned behind the unit.. . As to what has &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;happen&lt;/strong&gt;&lt;/span&gt;, sound like you may have lost one or more guns in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;tube&lt;/strong&gt;&lt;/span&gt;.  But first &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;check&lt;/strong&gt;&lt;/span&gt; you &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;connection&lt;/strong&gt;&lt;/span&gt;, before you go calling in a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;technician&lt;/strong&gt;&lt;/span&gt;.
			"
1568218_0;What is the mean of SUV?;"""A sport utility vehicle (SUV) or off-roader, known in some countries as a four wheel drive, (often abbreviated to 4WD or 4x4 - pronounced ""four-by-four""), is a type of passenger vehicle which combines the load-hauling and passenger-carrying capacity of a large station wagon or minivan with features designed for off-road driving. In more recent years, the term has also grown to encompass vehicles with similar size and style that are marketed as sport utility vehicles, but which do not actually incorporate substantial off-road features. A new category, the crossover SUV uses car components for lighter weight and better economy. Some who dislike this trend of giving this SUV label to vehicles which are neither sporty nor used for extra utility may use the definition ""square ugly vehicle"" instead.""";"
				""A sport &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;utility&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicle&lt;/strong&gt;&lt;/span&gt; (&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;SUV&lt;/strong&gt;&lt;/span&gt;) or off-roader, known in some countries as a four wheel drive, (often abbreviated to 4WD or 4x4 - pronounced ""four-by-four""), is a type of passenger &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicle&lt;/strong&gt;&lt;/span&gt; which combines the load-hauling and passenger-carrying capacity of a large station wagon or minivan with features designed for off-road driving. In more recent years, the term has also grown to encompass &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicles&lt;/strong&gt;&lt;/span&gt; with similar size and style that are marketed as sport &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;utility&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicles&lt;/strong&gt;&lt;/span&gt;, but which do not actually incorporate substantial off-road features. A new category, the crossover &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;SUV&lt;/strong&gt;&lt;/span&gt; uses car components for lighter weight and better economy. Some who dislike this trend of giving this &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;SUV&lt;/strong&gt;&lt;/span&gt; label to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicles&lt;/strong&gt;&lt;/span&gt; which are neither sporty nor used for extra &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;utility&lt;/strong&gt;&lt;/span&gt; may use the definition ""square ugly &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;vehicle&lt;/strong&gt;&lt;/span&gt;"" instead.""
			"
